sessionId,userId,r1_speedPxPerFrame,r2_speedPxPerFrame,r3_speedPxPerFrame,r1_spawnIntervalMs,r2_spawnIntervalMs,r3_spawnIntervalMs,device_pointerPrimary,device_os,device_browser,screen_width,screen_height,screen_dpr,viewportWidth,viewportHeight,perf_samplingHzTarget,perf_samplingHzEstimated,perf_avgFrameMs,perf_p95FrameMs,perf_droppedFrames,perf_inputLagMsEstimate,highContrastMode,reducedMotionPreference,userInfo_ageBucket,userInfo_gender,r1_nTargets,r1_nHits,r1_nMisses,r1_hitRate,r1_reactionTime_mean,r1_reactionTime_std,r1_reactionTime_median,r1_movementTime_mean,r1_movementTime_std,r1_movementTime_median,r1_interTap_mean,r1_interTap_std,r1_interTap_cv,r1_errorDist_mean,r1_errorDist_std,r1_pathLength_mean,r1_pathLength_std,r1_straightness_mean,r1_straightness_std,r1_meanSpeed_mean,r1_peakSpeed_mean,r1_speedVar_mean,r1_meanAccel_mean,r1_peakAccel_mean,r1_jerkRMS_mean,r1_jerkRMS_std,r1_submovementCount_mean,r1_submovementCount_std,r1_overshootCount_mean,r1_overshootCount_std,r1_ID_mean,r1_throughput_mean,r1_throughput_std,r2_nTargets,r2_nHits,r2_nMisses,r2_hitRate,r2_reactionTime_mean,r2_reactionTime_std,r2_reactionTime_median,r2_movementTime_mean,r2_movementTime_std,r2_movementTime_median,r2_interTap_mean,r2_interTap_std,r2_interTap_cv,r2_errorDist_mean,r2_errorDist_std,r2_pathLength_mean,r2_pathLength_std,r2_straightness_mean,r2_straightness_std,r2_meanSpeed_mean,r2_peakSpeed_mean,r2_speedVar_mean,r2_meanAccel_mean,r2_peakAccel_mean,r2_jerkRMS_mean,r2_jerkRMS_std,r2_submovementCount_mean,r2_submovementCount_std,r2_overshootCount_mean,r2_overshootCount_std,r2_ID_mean,r2_throughput_mean,r2_throughput_std,r3_nTargets,r3_nHits,r3_nMisses,r3_hitRate,r3_reactionTime_mean,r3_reactionTime_std,r3_reactionTime_median,r3_movementTime_mean,r3_movementTime_std,r3_movementTime_median,r3_interTap_mean,r3_interTap_std,r3_interTap_cv,r3_errorDist_mean,r3_errorDist_std,r3_pathLength_mean,r3_pathLength_std,r3_straightness_mean,r3_straightness_std,r3_meanSpeed_mean,r3_peakSpeed_mean,r3_speedVar_mean,r3_meanAccel_mean,r3_peakAccel_mean,r3_jerkRMS_mean,r3_jerkRMS_std,r3_submovementCount_mean,r3_submovementCount_std,r3_overshootCount_mean,r3_overshootCount_std,r3_ID_mean,r3_throughput_mean,r3_throughput_std,delta_r2_minus_r1_hitRate,delta_r3_minus_r1_hitRate,delta_r3_minus_r2_hitRate,delta_r2_minus_r1_reactionTime_mean,delta_r3_minus_r1_reactionTime_mean,delta_r3_minus_r2_reactionTime_mean,delta_r2_minus_r1_movementTime_mean,delta_r3_minus_r1_movementTime_mean,delta_r3_minus_r2_movementTime_mean,delta_r2_minus_r1_jerkRMS_mean,delta_r3_minus_r1_jerkRMS_mean,delta_r3_minus_r2_jerkRMS_mean,delta_r2_minus_r1_throughput_mean,delta_r3_minus_r1_throughput_mean,delta_r3_minus_r2_throughput_mean
session_1767612836476_6w7lynu1ur2,hgf4567,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,864,1.250000,1536,730,60,46.600000,21.440000,17.900000,1035,1.700000,false,false,25-34,Male,11,0,11,0,,,,,,,1198.700000,7.746612,0.006463,,,,,,,,,,,,,,,,,,,,,18,1,17,0.055556,3039,,3039,1965,,1965,900.470588,161.364446,0.179200,5.889911,,0.539408,,0.567017,,0.381544,3.148463,0.471436,11.549075,179.309561,2526.634265,,1,,0,,1.922545,0.978394,,24,0,24,0,,,,,,,700.130435,7.548708,0.010782,,,,,,,,,,,,,,,,,,,,,0.055556,0,-0.055556,,,,,,,,,,,,
session_1767612585902_cm98teoi9kn,vc-Diaz,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,864,1.250000,1536,730,60,48.100000,20.800000,18.700000,893,2.270000,false,false,25-34,Male,13,3,10,0.230769,3280.333333,1101.742963,2814,2361,606.875605,2400,1211.750000,422.314481,0.348516,5.452928,1.553045,0.770629,0.200159,0.396255,0.122131,0.549520,3.648256,0.590752,22.358057,160.401384,3603.357320,790.093289,4.666667,2.054805,1,0.816497,1.845505,0.822713,0.166244,19,2,17,0.105263,2634,360,2634,1934,,1934,990.166667,289.358534,0.292232,4.447803,,0.685121,,0.200955,,0.554978,4.324613,0.679097,24.660652,229.745697,3570.530860,,5,,1,,1.173971,0.607017,,26,5,21,0.192308,1686,234.192229,1638,1182.600000,671.427018,1181,769.400000,280.488574,0.364555,5.163714,1.560261,0.770259,0.463405,65.958167,131.073657,0.647262,4.211821,1.073108,29.844498,232.119845,4237.051879,2743.229957,3,2,0,0,2.063759,10.515507,18.260282,-0.125506,-0.038462,0.087045,-646.333333,-1594.333333,-948,-427,-1178.400000,-751.400000,-32.826459,633.694559,666.521019,-0.215696,9.692795,9.908490
session_1767602739968_qvi8akwebzp,chi999,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1600,900,1,1600,731,60,47.300000,21.120000,17.200000,961,0.980000,false,false,25-34,Male,16,16,0,1,1193.625000,273.759218,1148.500000,869.562500,252.670727,799.500000,1236.266667,316.231870,0.255796,5.794330,0.102038,0.282302,0.115970,1.383452,0.612667,0.398820,1.610031,0.194775,9.124127,47.620992,1003.821550,390.429766,2.937500,1.390537,0.062500,0.242061,2.015575,2.430405,0.612406,19,13,6,0.684211,2280.230769,881.216917,2667,2069.692308,942.012444,2499,1018.222222,720.054979,0.707169,6.519755,0.076018,0.693651,0.330919,0.874608,0.548882,0.439543,2.677987,0.324805,12.031952,73.399028,1231.419372,188.483677,4.846154,2.475920,0.153846,0.360801,2.346443,1.661536,1.335001,28,16,12,0.571429,1868,431.702154,1812,1572,501.412754,1725.500000,754,352.060601,0.466924,6.266054,1.159106,0.571875,0.267964,1.009423,0.918017,0.475284,2.575378,0.336327,13.450324,85.160977,1484.564686,412.220494,3.812500,1.739926,0.062500,0.242061,2.218937,1.725295,1.307118,-0.315789,-0.428571,-0.112782,1086.605769,674.375000,-412.230769,1200.129808,702.437500,-497.692308,227.597822,480.743136,253.145315,-0.768869,-0.705111,0.063759
session_1767589943892_peynypsjm8,sam3465,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1366,768,1,1366,641,60,31.200000,32.010000,18.400000,3316,2.820000,false,false,18-24,Male,16,16,0,1,1511,221.126095,1450.500000,1223.437500,355.844588,1274,1192.800000,257.760147,0.216097,5.193063,0.849468,0.321176,0.133288,1.352816,0.713932,0.349681,1.230932,0.120887,7.005746,28.419396,715.100997,181.935349,4.750000,2.750000,0.125000,0.330719,1.935055,1.809651,1.002709,22,22,0,1,2300.954545,382.114866,2356,2098.363636,647.277483,2317.500000,923.142857,324.148450,0.351136,5.384662,0.813262,0.923891,0.349132,0.508874,0.385056,0.534697,3.053894,0.392177,12.466142,77.660176,1190.377218,317.306635,4.681818,1.843573,0.318182,0.465770,1.959903,1.133608,0.862819,28,22,6,0.785714,2068.045455,301.650231,2169.500000,1885,486.430972,2067.500000,738.814815,208.631349,0.282387,5.531805,1.117691,0.966993,0.282708,0.591538,0.720129,0.593617,3.065418,0.412189,14.295058,87.704958,1441.507642,415.516632,4.818182,2.014411,0.545455,0.655555,2.119158,1.376384,1.332089,0,-0.214286,-0.214286,789.954545,557.045455,-232.909091,874.926136,661.562500,-213.363636,475.276220,726.406644,251.130424,-0.676044,-0.433267,0.242777
session_1767588555159_u75qcoafcc,hjk3897,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,960,1.250000,1536,791,60,47.800000,20.910000,17.400000,916,1.090000,false,false,25-34,Male,16,16,0,1,832.187500,150.870068,836.500000,651,159.631216,653,1177,155.127474,0.131799,6.337060,0.200257,0.179400,0.111447,3.095583,2.933095,0.329973,1.059707,0.106405,8.162736,26.486687,798.522733,179.633976,2.500000,1.500000,0,0,2.061130,3.333853,0.913897,22,21,1,0.954545,1658.714286,441.638954,1808,1279.380952,525.038092,1250,950.904762,424.342169,0.446251,6.099783,1.101203,0.398582,0.154691,1.188268,0.965826,0.424282,1.837034,0.205804,9.511203,48.391666,1011.626421,282.553323,3.190476,1.531232,0.047619,0.212959,2.156067,2.197077,1.539703,27,16,11,0.592593,1662.812500,676.831979,1509,1266.937500,373.819888,1329.500000,762.153846,465.239780,0.610428,7.121356,1.579183,0.394358,0.119045,1.005974,0.562418,0.423274,1.919498,0.220992,9.507628,50.724580,1089.510352,305.387244,2.687500,1.043956,0,0,2.113025,1.982956,1.278436,-0.045455,-0.407407,-0.361953,826.526786,830.625000,4.098214,628.380952,615.937500,-12.443452,213.103688,290.987619,77.883931,-1.136776,-1.350897,-0.214121
session_1767587709647_fodpnctwmvp,rgb3985,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,960,1.250000,1536,791,60,46,21.740000,17.400000,1097,1.410000,false,false,55-64,Male,12,5,7,0.416667,2351.400000,646.787013,2038,1896.400000,637.375431,1633,1423.090909,844.886593,0.593698,6.419184,0.292319,0.349557,0.141725,0.979712,0.317137,0.323133,1.289573,0.093561,6.484271,36.161806,815.907178,232.045575,3.400000,1.356466,0,0,2.014606,1.100411,0.234935,18,2,16,0.111111,1524.500000,674.500000,1524.500000,1376,726,1376,924.411765,390.541865,0.422476,6.358942,0.184272,0.228711,0.042318,1.649615,0.332900,0.364018,1.342781,0.125848,6.824877,37.142669,803.441658,199.227328,1.500000,1.500000,0,0,2.217534,2.467467,1.622177,24,0,24,0,,,,,,,700,4.827458,0.006896,,,,,,,,,,,,,,,,,,,,,-0.305556,-0.416667,-0.111111,-826.900000,,,-520.400000,,,-12.465520,,,1.367056,,
session_1767587301688_sl47sk2i1zq,ftx5673,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,960,1.250000,1536,791,60,48.500000,20.610000,17.400000,852,1.250000,false,false,45-54,Male,13,7,6,0.538462,1097.857143,301.187852,1013,760.571429,301.276739,650,1401.666667,727.409826,0.518961,6.315996,0.168409,0.312013,0.161884,1.429576,0.594469,0.598137,2.180325,0.715314,14.351899,66.889921,1436.998228,881.145780,2.714286,2.050386,0,0,2.188793,3.244967,1.158174,18,3,15,0.166667,839.666667,90.134467,884,505.333333,51.616104,533,900,510.366765,0.567074,6.255073,0.030176,0.235059,0.021514,1.342784,0.613174,0.633302,2.148503,0.391907,14.723487,57.869149,1590.574501,681.551983,1.333333,0.471405,0,0,1.951650,3.990740,1.272715,24,3,21,0.125000,951.333333,130.395126,1039,813.333333,152.860139,750,700.739130,329.069600,0.469604,6.360399,0.120462,0.322745,0.027403,0.966524,0.129366,0.642475,2.539224,0.550646,15.339276,62.484947,1590.962582,935.431389,1.333333,0.471405,0,0,2.016788,2.577779,0.523467,-0.371795,-0.413462,-0.041667,-258.190476,-146.523810,111.666667,-255.238095,52.761905,308.000000,153.576273,153.964354,0.388081,0.745773,-0.667188,-1.412961
session_1767586784144_aplbq8wrr5n,ytd4545,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1600,900,1,1600,731,60,47.900000,20.860000,17.400000,906,1.010000,false,false,45-54,Female,14,11,3,0.785714,1436.272727,715.229028,1054,1208.454545,722.917494,900,1281.230769,725.961130,0.566612,6.502901,0.380291,0.345527,0.160417,1.260714,0.830793,0.401176,1.585728,0.180611,7.817589,37.224126,839.083421,183.746832,4,2.730301,0,0,2.009443,2.333221,1.341355,19,6,13,0.315789,1261.833333,274.675819,1273,1033.166667,284.214952,1032.500000,945.722222,664.731174,0.702882,6.367720,0.117603,0.236984,0.060484,1.672915,0.768809,0.374004,1.151955,0.144962,7.546769,27.642581,746.906028,109.364894,2.500000,1.258306,0,0,2.145678,2.215644,0.593138,26,7,19,0.269231,812,255.388779,707,627.285714,109.993135,675,728,348.599598,0.478846,6.661343,0.463852,0.226146,0.099513,2.310923,1.318034,0.479874,1.252710,0.147811,9.189834,39.579941,1044.785977,417.956628,2.285714,0.880631,0.142857,0.349927,2.320842,3.909032,1.380234,-0.469925,-0.516484,-0.046559,-174.439394,-624.272727,-449.833333,-175.287879,-581.168831,-405.880952,-92.177393,205.702556,297.879949,-0.117577,1.575811,1.693388
session_1767586292882_4judau712lm,gfg3454,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,960,1.250000,1536,791,60,48.300000,20.720000,17.300000,875,1.140000,false,false,25-34,Male,15,15,0,1,1172.133333,321.300040,1218,813.866667,331.497987,734,1139.285714,309.019516,0.271240,6.277003,0.167060,0.249552,0.107433,1.455924,0.515075,0.428883,1.713680,0.222142,10.158383,49.391204,1132.804185,399.872226,2.200000,0.979796,0,0,2.048846,2.886638,0.988437,18,10,8,0.555556,1042.200000,280.878906,927.500000,759.100000,236.073484,757.500000,1057.411765,603.594143,0.570822,6.472260,0.149716,0.231906,0.090571,1.820273,0.930141,0.444770,1.358893,0.160075,8.752337,40.338147,1024.222042,329.643461,2.300000,1.791647,0,0,2.161672,3.098348,1.038330,25,6,19,0.240000,797.333333,174.540030,761.500000,627.500000,184.451213,625,642.333333,335.882130,0.522909,6.636673,0.137161,0.327472,0.128871,1.417435,0.602902,0.600627,1.810050,0.251817,12.337251,48.501837,1313.437343,413.022926,2.333333,1.105542,0,0,2.283582,3.911353,1.012462,-0.444444,-0.760000,-0.315556,-129.933333,-374.800000,-244.866667,-54.766667,-186.366667,-131.600000,-108.582143,180.633158,289.215301,0.211710,1.024714,0.813005
session_1767585483446_qr6oee56sb,u4543,1.500000,2.500000,3.500000,1200,900,700,mouse,Windows 10/11,Chrome 143,1536,960,1.250000,1536,791,60,48.400000,20.680000,17.500000,866,1.030000,false,false,18-24,Female,13,12,1,0.923077,938.833333,426.634862,800,656.916667,317.266833,558,1327.833333,633.891925,0.477388,5.087347,0.147095,0.148651,0.086289,4.077457,5.335731,0.240486,0.677118,0.041077,5.760514,19.402693,662.648474,181.351873,2.750000,1.831438,0,0,1.943481,3.555223,1.594541,19,11,8,0.578947,1328.272727,359.518388,1611,1173.181818,470.684186,1465,803.055556,687.599162,0.856229,5.247253,0.151881,0.368694,0.146120,1.035803,0.820325,0.462444,1.801067,0.239062,9.007319,45.010237,972.421760,265.823939,2.545455,1.233151,0.090909,0.287480,1.886541,1.936523,0.985474,25,6,19,0.240000,929.666667,224.974566,848.500000,692.166667,366.833939,675.500000,717.166667,361.912935,0.504643,5.774349,0.779885,0.233285,0.141956,2.012063,0.982568,0.439130,1.010941,0.094638,8.088454,29.532584,829.480273,189.770826,1.833333,0.897527,0,0,2.113791,4.360283,2.842838,-0.344130,-0.683077,-0.338947,389.439394,-9.166667,-398.606061,516.265152,35.250000,-481.015152,309.773286,166.831799,-142.941487,-1.618700,0.805060,2.423760
